org;dest;capacidade max;uf;uso
CLT_54_in;CLT_54_out;1e+06;PI;1
CLT_55_in;CLT_55_out;1e+06;RJ;1
CLT_56_in;CLT_56_out;1e+06;RO;1
CLT_57_in;CLT_57_out;1e+06;AC;1
CLT_58_in;CLT_58_out;1e+06;MA;1
CLT_59_in;CLT_59_out;1e+06;BA;1
CLT_60_in;CLT_60_out;1e+06;PR;1
CLT_61_in;CLT_61_out;1e+06;AL;1
CLT_62_in;CLT_62_out;1e+06;DF;1
CLT_63_in;CLT_63_out;1e+06;RS;1
CLT_64_in;CLT_64_out;1e+06;GO;1
CLT_65_in;CLT_65_out;1e+06;RS;1
CLT_66_in;CLT_66_out;1e+06;RO;1
CLT_67_in;CLT_67_out;1e+06;ES;1
CLT_68_in;CLT_68_out;1e+06;AM;1
CLT_69_in;CLT_69_out;1e+06;RR;1
CLT_70_in;CLT_70_out;1e+06;MA;1
CLT_71_in;CLT_71_out;1e+06;GO;1
CLT_72_in;CLT_72_out;1e+06;BA;1
CLT_73_in;CLT_73_out;1e+06;PI;1
CLT_74_in;CLT_74_out;1e+06;RS;1
CLT_75_in;CLT_75_out;1e+06;PE;1
CLT_76_in;CLT_76_out;1e+06;RJ;1
CLT_77_in;CLT_77_out;1e+06;PB;1
CLT_78_in;CLT_78_out;1e+06;SC;1
CLT_79_in;CLT_79_out;1e+06;MT;1
CLT_80_in;CLT_80_out;1e+06;DF;1
CLT_81_in;CLT_81_out;1e+06;RN;1
CLT_82_in;CLT_82_out;1e+06;RJ;1
CLT_83_in;CLT_83_out;1e+06;MA;1
CLT_84_in;CLT_84_out;1e+06;AM;1
CLT_85_in;CLT_85_out;1e+06;RN;1
CLT_86_in;CLT_86_out;1e+06;MS;1
CLT_87_in;CLT_87_out;1e+06;CE;1
CLT_88_in;CLT_88_out;1e+06;SP;1
CLT_89_in;CLT_89_out;1e+06;ES;1
CLT_90_in;CLT_90_out;1e+06;PR;1
CLT_91_in;CLT_91_out;1e+06;RJ;1
CLT_92_in;CLT_92_out;1e+06;RN;1
CLT_93_in;CLT_93_out;1e+06;ES;1
CLT_94_in;CLT_94_out;1e+06;PA;1
CLT_95_in;CLT_95_out;1e+06;AM;1
CLT_96_in;CLT_96_out;1e+06;RJ;1
CLT_97_in;CLT_97_out;1e+06;RR;1
CLT_98_in;CLT_98_out;1e+06;AP;1
CLT_99_in;CLT_99_out;1e+06;CE;1
